sl_no,gender,ssc_p,ssc_b,puc_p,puc_b,puc,degree_p,Branch,workex,etest_p,specialisation,gate_p,status,salary
1,M,67,Others,91,rgukt,mpc,58,cse,No,55,ml,58.8,Placed,270000
2,M,79.33,Central,78.33,rgukt,mbipc,77.48,cse,Yes,86.5,web,66.28,Placed,200000
3,M,65,Central,68,rgukt,mbipc,64,cse,No,75,web,57.8,Placed,250000
4,M,56,Central,52,rgukt,mbipc,52,cse,No,66,ml,59.43,Not Placed,
5,M,85.8,Central,73.6,rgukt,mbipc,73.3,cse,No,96.8,ml,55.5,Placed,425000
6,M,55,Others,49.8,rgukt,mbipc,67.25,cse,Yes,55,web,51.58,Not Placed,
7,F,46,Others,49.2,rgukt,mbipc,79,cse,No,74.28,ml,53.29,Not Placed,
8,M,82,Central,64,rgukt,mpc,66,cse,Yes,67,ml,62.14,Placed,252000
9,M,73,Central,79,rgukt,mpc,72,cse,No,91.34,ml,61.29,Placed,231000
10,M,58,Central,70,rgukt,mpc,61,cse,No,54,ml,52.21,Not Placed,
11,M,58,Central,61,rgukt,mpc,60,cse,Yes,62,ml,60.85,Placed,260000
12,M,69.6,Central,68.4,rgukt,mpc,78.3,cse,Yes,60,web,63.7,Placed,250000
13,F,47,Central,55,rgukt,mpc,65,cse,No,62,ml,65.04,Not Placed,
14,F,77,Central,87,rgukt,mpc,59,cse,No,68,ml,68.63,Placed,218000
15,M,62,Central,47,rgukt,mpc,50,ece,No,76,ml,54.96,Not Placed,
16,F,65,Central,75,rgukt,mpc,69,ece,Yes,72,ml,64.66,Placed,200000
17,M,63,Central,66.2,rgukt,mpc,65.6,ece,Yes,60,ml,62.54,Placed,300000
18,F,55,Central,67,rgukt,mpc,64,ece,No,60,ml,67.28,Not Placed,
19,F,63,Central,66,rgukt,mpc,64,ece,No,68,ml,64.08,Not Placed,
20,M,60,Others,67,rgukt,mpc,70,ece,Yes,50.48,web,77.89,Placed,236000
21,M,62,Others,65,rgukt,mpc,66,ece,No,50,ml,56.7,Placed,265000
22,F,79,Others,76,rgukt,mpc,85,ece,No,95,ml,69.06,Placed,393000
23,F,69.8,Others,60.8,rgukt,mpc,72.23,ece,No,55.53,ml,68.81,Placed,360000
24,F,77.4,Others,60,rgukt,mpc,64.74,ece,Yes,92,ml,63.62,Placed,300000
25,M,76.5,Others,97.7,rgukt,mpc,78.86,ece,No,97.4,ml,74.01,Placed,360000
26,F,52.58,Others,54.6,rgukt,mbipc,50.2,ece,Yes,76,ml,65.33,Not Placed,
27,M,71,Others,79,rgukt,mbipc,66,ece,Yes,94,ml,57.55,Placed,240000
28,M,63,Others,67,rgukt,mbipc,66,ece,No,68,ml,57.69,Placed,265000
29,M,76.76,Others,76.5,rgukt,mbipc,67.5,eee,Yes,73.35,web,64.15,Placed,350000
30,M,62,Central,67,rgukt,mbipc,58,eee,No,77,web,51.29,Not Placed,
31,F,64,Central,73.5,rgukt,mbipc,73,eee,No,52,web,56.7,Placed,250000
32,F,67,Central,53,rgukt,mbipc,65,eee,No,64,web,58.32,Not Placed,
33,F,61,Central,81,rgukt,mbipc,66.4,eee,No,50.89,web,62.21,Placed,278000
34,F,87,Others,65,rgukt,mbipc,81,eee,Yes,88,web,72.78,Placed,260000
35,M,62,Others,51,rgukt,mbipc,52,eee,No,68.44,web,62.77,Not Placed,
36,F,69,Central,78,rgukt,mbipc,72,eee,No,71,web,62.74,Placed,300000
37,M,51,Central,44,rgukt,mpc,57,eee,No,64,ml,51.45,Not Placed,
38,F,79,Central,76,rgukt,mpc,65.6,eee,No,58,web,55.47,Placed,320000
39,F,73,Others,58,rgukt,mpc,66,cse,No,53.7,web,56.86,Placed,240000
40,M,81,Others,68,rgukt,mpc,64,cse,No,93,web,62.56,Placed,411000
41,F,78,Central,77,rgukt,mpc,80,cse,No,60,web,66.72,Placed,287000
42,F,74,Others,63.16,rgukt,mpc,65,cse,Yes,65,web,69.76,Not Placed,
43,M,49,Others,39,rgukt,mpc,65,cse,No,63,ml,51.21,Not Placed,
44,M,87,Others,87,rgukt,mpc,68,cse,No,95,ml,62.9,Placed,300000
45,F,77,Others,73,rgukt,mpc,81,cse,Yes,89,web,69.7,Placed,200000
46,F,76,Central,64,rgukt,mpc,72,cse,No,58,web,66.53,Not Placed,
47,F,70.89,Others,71.98,rgukt,mpc,65.6,cse,No,68,web,71.63,Not Placed,
48,M,63,Central,60,rgukt,mpc,57,cse,Yes,78,web,54.55,Placed,204000
49,M,63,Others,62,rgukt,mpc,68,cse,No,64,web,62.46,Placed,250000
50,F,50,Others,37,rgukt,mpc,52,cse,No,65,web,56.11,Not Placed,
51,F,75.2,Central,73.2,rgukt,mpc,68.4,cse,No,65,web,62.98,Placed,200000
52,M,54.4,Central,61.12,rgukt,mpc,56.2,cse,No,67,web,62.65,Not Placed,
53,F,40.89,Others,45.83,rgukt,mpc,53,cse,No,71.2,web,65.49,Not Placed,
54,M,80,Others,70,rgukt,mpc,72,cse,No,87,web,71.04,Placed,450000
55,F,74,Central,60,rgukt,mpc,69,cse,No,78,web,65.56,Placed,216000
56,M,60.4,Central,66.6,rgukt,mpc,65,cse,No,71,web,52.71,Placed,220000
57,M,63,Others,71.4,rgukt,mpc,61.4,cse,No,68,web,66.88,Placed,240000
58,M,68,Central,76,rgukt,mpc,74,cse,No,80,web,63.59,Placed,360000
59,M,74,Central,62,rgukt,mpc,68,cse,No,74,web,57.99,Placed,268000
60,M,52.6,Central,65.58,rgukt,mpc,72.11,cse,No,57.6,web,56.66,Placed,265000
61,M,74,Central,70,rgukt,mpc,72,cse,Yes,60,web,57.24,Placed,260000
62,M,84.2,Central,73.4,rgukt,mpc,66.89,cse,No,61.6,web,62.48,Placed,300000
63,F,86.5,Others,64.2,rgukt,mpc,67.4,cse,No,59,web,59.69,Placed,240000
64,M,61,Others,70,rgukt,mpc,64,cse,No,68.5,web,59.5,Not Placed,
65,M,80,Others,73,rgukt,mpc,75,cse,No,61,web,58.78,Placed,240000
66,M,54,Others,47,rgukt,mpc,57,cse,No,89.69,web,57.1,Not Placed,
67,M,83,Others,74,rgukt,mpc,66,cse,No,68.92,web,58.46,Placed,275000
68,M,80.92,Others,78.5,rgukt,mpc,67,cse,No,68.71,web,60.99,Placed,275000
69,F,69.7,Central,47,rgukt,mpc,72.7,cse,No,79,web,59.24,Not Placed,
70,M,73,Central,73,rgukt,mpc,66,cse,Yes,70,web,68.07,Placed,275000
71,M,82,Others,61,rgukt,mpc,62,cse,No,89,web,65.45,Placed,360000
72,M,75,Others,70.29,rgukt,mpc,71,cse,No,95,web,66.94,Placed,240000
73,M,84.86,Others,67,rgukt,mpc,78,cse,No,95.5,web,68.53,Placed,240000
74,M,64.6,Central,83.83,rgukt,mpc,71.72,cse,No,86,web,59.75,Placed,218000
75,M,56.6,Central,64.8,rgukt,mpc,70.2,mech,No,84.27,web,67.2,Placed,336000
76,F,59,Central,62,rgukt,mpc,77.5,mech,No,74,web,67,Not Placed,
77,F,66.5,Others,70.4,rgukt,mpc,71.93,mech,No,61,web,64.27,Placed,230000
78,M,64,Others,80,rgukt,mpc,65,mech,Yes,69,web,57.65,Placed,500000
79,M,84,Others,90.9,rgukt,mpc,64.5,mech,No,86.04,web,59.42,Placed,270000
80,F,69,Central,62,rgukt,mpc,66,civil,No,75,web,67.99,Not Placed,
81,F,69,Others,62,rgukt,mpc,69,civil,Yes,67,web,62.35,Placed,240000
82,M,81.7,Others,63,rgukt,mpc,67,civil,Yes,86,web,70.2,Placed,300000
83,M,63,Central,67,rgukt,mpc,74,civil,No,82,web,60.44,Not Placed,
84,M,84,Others,79,rgukt,mpc,68,civil,Yes,84,web,66.69,Placed,300000
85,M,70,Central,63,rgukt,mpc,70,civil,Yes,55,web,62,Placed,300000
86,F,83.84,Others,89.83,rgukt,mpc,77.2,civil,Yes,78.74,web,76.18,Placed,400000
87,M,62,Others,63,rgukt,mpc,64,civil,No,67,web,57.03,Placed,220000
88,M,59.6,Central,51,rgukt,mpc,60,civil,No,75,web,59.08,Not Placed,
89,F,66,Central,62,rgukt,mpc,73,civil,No,58,web,64.36,Placed,210000
90,F,84,Others,75,rgukt,mpc,69,chem,Yes,62,web,62.36,Placed,210000
91,F,85,Others,90,rgukt,mpc,82,chem,No,92,web,68.03,Placed,300000
92,M,52,Central,57,rgukt,mpc,50.8,chem,No,67,web,62.79,Not Placed,
93,F,60.23,Central,69,rgukt,mpc,66,chem,No,72,web,59.47,Placed,230000
94,M,52,Central,62,rgukt,mpc,54,chem,No,72,web,55.41,Not Placed,
95,M,58,Central,62,rgukt,mpc,64,chem,No,53.88,web,54.97,Placed,260000
96,M,73,Central,78,rgukt,mpc,65,chem,Yes,95.46,web,62.16,Placed,420000
97,F,76,Central,70,rgukt,mpc,76,chem,Yes,66,web,64.44,Placed,300000
98,F,70.5,Central,62.5,rgukt,mpc,61,chem,No,93.91,web,69.03,Not Placed,
99,F,69,Central,73,rgukt,mpc,65,cse,No,70,web,57.31,Placed,220000
100,M,54,Central,82,rgukt,mpc,63,cse,No,50,web,59.47,Not Placed,
101,F,45,Others,57,rgukt,mpc,58,cse,Yes,56.39,web,64.95,Not Placed,
102,M,63,Central,72,rgukt,mpc,68,cse,No,78,web,60.44,Placed,380000
103,F,77,Others,61,rgukt,mpc,68,cse,Yes,57.5,web,61.31,Placed,300000
104,M,73,Central,78,rgukt,mpc,73,cse,Yes,85,web,65.83,Placed,240000
105,M,69,Central,63,rgukt,mpc,65,cse,Yes,55,web,58.23,Placed,360000
106,M,59,Central,64,rgukt,mpc,58,cse,No,85,web,55.3,Not Placed,
107,M,61.08,Others,50,rgukt,mpc,54,cse,No,71,web,65.69,Not Placed,
108,M,82,Others,90,rgukt,mpc,83,ece,No,80,web,73.52,Placed,200000
109,M,61,Central,82,rgukt,mpc,69,ece,No,84,web,58.31,Placed,300000
110,M,52,Central,63,rgukt,mpc,65,ece,Yes,86,web,56.09,Not Placed,
111,F,69.5,Central,70,rgukt,mpc,72,ece,No,57.2,web,54.8,Placed,250000
112,M,51,Others,54,rgukt,mpc,61,ece,No,60,web,60.64,Not Placed,
113,M,58,Others,61,rgukt,mpc,61,ece,No,58,web,53.94,Placed,250000
114,F,73.96,Others,79,rgukt,mpc,67,ece,No,72.15,web,63.08,Placed,280000
115,M,65,Central,68,rgukt,mpc,69,ece,No,53.7,web,55.01,Placed,250000
116,F,73,Others,63,rgukt,mpc,66,ece,No,89,web,60.5,Placed,216000
117,M,68.2,Central,72.8,rgukt,mpc,66.6,ece,Yes,96,web,70.85,Placed,300000
118,M,77,Others,75,rgukt,mpc,73,ece,No,80,web,67.05,Placed,240000
119,M,76,Central,80,rgukt,mpc,78,ece,Yes,97,web,70.48,Placed,276000
120,M,60.8,Central,68.4,rgukt,mpc,64.6,mme,Yes,82.66,web,64.34,Placed,940000
121,M,58,Others,40,rgukt,mpc,59,mme,No,73,web,58.81,Not Placed,
122,F,64,Central,67,rgukt,mpc,69.6,mme,Yes,55.67,web,71.49,Placed,250000
123,F,66.5,Central,66.8,rgukt,mpc,69.3,mme,Yes,80.4,web,71,Placed,236000
124,M,74,Others,59,rgukt,mpc,73,cse,Yes,60,web,56.7,Placed,240000
125,M,67,Central,71,rgukt,mpc,64.33,cse,Yes,64,web,61.26,Placed,250000
126,F,84,Central,73,rgukt,mpc,73,cse,No,75,web,73.33,Placed,350000
127,F,79,Others,61,rgukt,mpc,75.5,cse,Yes,70,web,68.2,Placed,210000
128,F,72,Others,60,rgukt,mpc,69,cse,No,55.5,web,58.4,Placed,250000
129,M,80.4,Central,73.4,rgukt,mpc,77.72,cse,Yes,81.2,web,76.26,Placed,400000
130,M,76.7,Central,89.7,rgukt,mpc,66,cse,Yes,90,web,68.55,Placed,250000
131,M,62,Central,65,rgukt,mpc,60,cse,No,84,web,64.15,Not Placed,
132,F,74.9,Others,57,rgukt,mpc,62,cse,Yes,80,web,60.78,Placed,360000
133,M,67,Others,68,rgukt,mpc,64,cse,Yes,74.4,web,53.49,Placed,300000
134,M,73,Central,64,rgukt,mpc,77,cse,Yes,65,web,60.98,Placed,250000
135,F,77.44,Central,92,rgukt,mpc,72,cse,Yes,94,web,67.13,Placed,250000
136,F,72,Central,56,rgukt,mpc,69,cse,No,55.6,web,65.63,Placed,200000
137,F,47,Central,59,rgukt,mpc,64,cse,No,78,web,61.58,Not Placed,
138,M,67,Others,63,rgukt,mpc,72,cse,No,56,web,60.41,Placed,225000
139,F,82,Others,64,rgukt,mpc,73,chem,Yes,96,web,71.77,Placed,250000
140,M,77,Central,70,rgukt,mpc,59,chem,Yes,58,web,54.43,Placed,220000
141,M,65,Central,64.8,rgukt,mpc,69.5,chem,Yes,56,web,56.94,Placed,265000
142,M,66,Central,64,rgukt,mpc,60,chem,No,60,web,61.9,Not Placed,
143,M,85,Central,60,rgukt,mpc,73.43,chem,Yes,60,web,61.29,Placed,260000
144,M,77.67,Others,64.89,rgukt,mpc,70.67,chem,No,89,web,60.39,Placed,300000
145,M,52,Others,50,rgukt,mpc,61,chem,No,60,web,58.52,Not Placed,
146,M,89.4,Others,65.66,rgukt,mpc,71.25,chem,No,72,web,63.23,Placed,400000
147,M,62,Central,63,rgukt,mpc,66,chem,No,85,web,55.14,Placed,233000
148,M,70,Central,74,rgukt,mpc,65,mech,No,83,web,62.28,Placed,300000
149,F,77,Central,86,rgukt,mpc,56,mech,No,57,web,64.08,Placed,240000
150,M,44,Central,58,rgukt,mpc,55,mech,Yes,64.25,web,58.54,Not Placed,
151,M,71,Central,58.66,rgukt,mpc,58,mech,Yes,56,web,61.3,Placed,690000
152,M,65,Central,65,rgukt,mpc,75,mech,No,83,ml,58.87,Placed,270000
153,F,75.4,Others,60.5,rgukt,mpc,84,mech,No,98,ml,65.25,Placed,240000
154,M,49,Others,59,rgukt,mpc,65,mech,Yes,86,ml,62.48,Placed,340000
155,M,53,Central,63,rgukt,mpc,60,mech,Yes,70,ml,53.2,Placed,250000
156,M,51.57,Others,74.66,rgukt,mpc,59.9,cse,Yes,56.15,ml,65.99,Not Placed,
157,M,84.2,Central,69.4,rgukt,mpc,65,cse,Yes,80,ml,52.72,Placed,255000
158,M,66.5,Central,62.5,rgukt,mpc,60.9,cse,No,93.4,ml,55.03,Placed,300000
159,M,67,Others,63,rgukt,mpc,64,cse,No,60,ml,61.87,Not Placed,
160,M,52,Central,49,rgukt,mpc,58,cse,No,62,ml,60.59,Not Placed,
161,M,87,Central,74,rgukt,mpc,65,cse,Yes,75,ml,72.29,Placed,300000
162,M,55.6,Others,51,rgukt,mpc,57.5,cse,No,57.63,ml,62.72,Not Placed,
163,M,74.2,Central,87.6,rgukt,mpc,77.25,cse,Yes,75.2,ml,66.06,Placed,285000
164,M,63,Others,67,rgukt,mpc,64,cse,No,75,ml,66.46,Placed,500000
165,F,67.16,Central,72.5,rgukt,mpc,63.35,cse,No,53.04,ml,65.52,Placed,250000
166,F,63.3,Central,78.33,rgukt,mpc,74,cse,No,80,ml,74.56,Not Placed,
167,M,62,Others,62,rgukt,mpc,60,cse,Yes,63,ml,52.38,Placed,240000
168,M,67.9,Others,62,rgukt,mpc,67,cse,Yes,58.1,ml,75.71,Not Placed,
169,F,48,Central,51,rgukt,mpc,58,cse,Yes,60,ml,58.79,Not Placed,
170,M,59.96,Others,42.16,rgukt,mpc,61.26,cse,No,54.48,ml,65.48,Not Placed,
171,F,63.4,Others,67.2,rgukt,mpc,60,cse,No,58.06,ml,69.28,Not Placed,
172,M,80,Others,80,rgukt,mpc,72,cse,Yes,63.79,ml,66.04,Placed,290000
173,M,73,Others,58,rgukt,mpc,56,cse,No,84,ml,52.64,Placed,300000
174,F,52,Others,52,rgukt,mpc,55,cse,No,67,ml,59.32,Not Placed,
175,M,73.24,Others,50.83,rgukt,mpc,64.27,cse,Yes,64,ml,66.23,Placed,500000
176,M,63,Others,62,rgukt,mpc,65,cse,No,87.5,ml,60.69,Not Placed,
177,F,59,Central,60,rgukt,mpc,56,cse,No,55,web,57.9,Placed,220000
178,F,73,Central,97,rgukt,mpc,79,cse,Yes,89,web,70.81,Placed,650000
179,M,68,Others,56,rgukt,mpc,68,cse,No,73,web,68.07,Placed,350000
180,F,77.8,Central,64,rgukt,mpc,64.2,cse,No,75.5,web,72.14,Not Placed,
181,M,65,Central,71.5,rgukt,mbipc,62.8,cse,Yes,57,web,56.6,Placed,265000
182,M,62,Central,60.33,rgukt,mbipc,64.21,cse,No,63,web,60.02,Not Placed,
183,M,52,Others,65,rgukt,mbipc,57,cse,Yes,75,web,59.81,Not Placed,
184,M,65,Central,77,rgukt,mbipc,69,cse,No,60,web,61.82,Placed,276000
185,F,56.28,Others,62.83,rgukt,mbipc,59.79,cse,No,60,web,57.29,Not Placed,
186,F,88,Central,72,rgukt,mbipc,78,cse,No,82,web,71.43,Placed,252000
187,F,52,Central,64,rgukt,mbipc,61,cse,No,55,web,62.93,Not Placed,
188,M,78.5,Central,65.5,rgukt,mbipc,67,cse,Yes,95,web,64.86,Placed,280000
189,M,61.8,Others,47,rgukt,mbipc,54.38,cse,No,57,web,56.13,Not Placed,
190,F,54,Central,77.6,rgukt,mbipc,69.2,cse,No,95.65,web,66.94,Not Placed,
191,F,64,Others,70.2,rgukt,mbipc,61,cse,No,50,web,62.5,Not Placed,
192,M,67,Others,61,rgukt,mbipc,72,cse,No,72,web,61.01,Placed,264000
193,M,65.2,Central,61.4,rgukt,mbipc,64.8,cse,Yes,93.4,web,57.34,Placed,270000
194,F,60,Central,63,rgukt,mpc,56,cse,Yes,80,ml,56.63,Placed,300000
195,M,52,Others,55,rgukt,mpc,56.3,cse,No,59,ml,64.74,Not Placed,
196,M,66,Central,76,rgukt,mpc,72,cse,Yes,84,ml,58.95,Placed,275000
197,M,72,Others,63,rgukt,mpc,77.5,cse,Yes,78,ml,54.48,Placed,250000
198,F,83.96,Others,53,rgukt,mpc,91,cse,No,59.32,ml,69.71,Placed,260000
199,F,67,Central,70,rgukt,mpc,65,ece,No,88,ml,71.96,Not Placed,
200,M,69,Others,65,rgukt,mpc,57,ece,No,73,ml,55.8,Placed,265000
201,M,69,Others,60,rgukt,mpc,65,ece,No,87.55,ml,52.81,Placed,300000
202,M,54.2,Central,63,rgukt,mpc,58,ece,No,79,ml,58.44,Not Placed,
203,M,70,Central,63,rgukt,mpc,66,ece,No,61.28,ml,60.11,Placed,240000
204,M,55.68,Others,61.33,rgukt,mpc,56.87,ece,No,66,ml,58.3,Placed,260000
205,F,74,Others,73,rgukt,mpc,73,cse,Yes,80,ml,67.69,Placed,210000
206,M,61,Others,62,rgukt,mpc,65,cse,No,62,ml,56.81,Placed,250000
207,M,41,Central,42,rgukt,mpc,60,cse,No,97,web,53.39,Not Placed,
208,M,83.33,Central,78,rgukt,mpc,61,cse,Yes,88.56,web,71.55,Placed,300000
209,F,43,Central,60,rgukt,mpc,65,cse,No,92.66,web,62.92,Not Placed,
210,M,62,Central,72,rgukt,mpc,65,cse,No,67,web,56.49,Placed,216000
211,M,80.6,Others,82,rgukt,mpc,77.6,cse,No,91,ml,74.49,Placed,400000
212,M,58,Others,60,rgukt,mpc,72,cse,No,74,web,53.62,Placed,275000
213,M,67,Others,67,rgukt,mbipc,73,cse,Yes,59,ml,69.72,Placed,295000
214,F,74,Others,66,rgukt,mbipc,58,cse,No,70,web,60.23,Placed,204000
215,M,62,Central,58,rgukt,mbipc,53,cse,No,89,web,60.22,Not Placed,
